Date : 2023-03-28 19:31:17
Directory : d:\Non games\temp_nohard\jazz2stuff\jazz2
Total : 126 files,  11772 codes, 1216 comments, 2289 blanks, all 15277 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\listserver_tests\j2lsnek\j2lsnek.py               | Python           |        250 |         77 |         63 |        390 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\listserver_tests\j2lsnek\manage.py                | Python           |         87 |         13 |         25 |        125 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\listserver_tests\main.py                          | Python           |         17 |          0 |          7 |         24 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\botplayer\STVbotplayer.mut               | C++              |        182 |          0 |         21 |        203 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\botplayer\run.bat                        | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\charshop\STVcharshop.mut                 | C++              |        427 |          6 |         67 |        500 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\charshop\run.bat                         | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customcharacters\STVcustomcharacters.mut | C++              |          5 |          0 |          2 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customcharacters\run.bat                 | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customhud\STVcustomhud.mut               | C++              |        255 |         13 |         82 |        350 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customhud\run.bat                        | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customweapons\STVcustomweapons.mut       | C++              |         22 |          0 |          7 |         29 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\customweapons\run.bat                    | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\flaghealth\STVflaghealth.mut             | C++              |        274 |          3 |         47 |        324 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\flaghealth\run.bat                       | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\jetpack\STVjetpack.mut                   | C++              |         51 |          0 |          4 |         55 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\jetpack\run.bat                          | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\juggernaut\STVjuggernaut.mut             | C++              |        218 |          0 |         34 |        252 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\juggernaut\run.bat                       | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\laserbeam\STVlaserbeam.mut               | C++              |         48 |          0 |         14 |         62 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\laserbeam\run.bat                        | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\modern\STVmodernui.mut                   | C++              |         17 |          0 |          7 |         24 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\modern\run.bat                           | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\recthitboxes\STVrecthitboxes.mut         | C++              |         83 |          3 |         14 |        100 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\recthitboxes\run.bat                     | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\replay\STVreplay.mut                     | C++              |        189 |          3 |         65 |        257 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\replay\STVreplay_full.mut                | C++              |        157 |          0 |         35 |        192 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\replay\run.bat                           | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\spyamongus\STVspyamongus.mut             | C++              |          7 |          0 |          3 |         10 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\spyamongus\run.bat                       | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\startposviewer\STVstartposviewer.mut     | C++              |         63 |          0 |         13 |         76 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\startposviewer\run.bat                   | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\teamchatbinds\STVteamchatbinds.mut       | C++              |        206 |          1 |         11 |        218 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\teamchatbinds\run.bat                    | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\teamhealth\STVteamhealth.mut             | C++              |        249 |          5 |         44 |        298 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\teamhealth\run.bat                       | Batch            |          6 |          0 |          0 |          6 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\truedebug\STVtruedebug.mut               | C++              |        179 |          0 |         33 |        212 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\truedebug\run.bat                        | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\weaponlist\STVweaponlist.mut             | C++              |      1,221 |         95 |        238 |      1,554 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\weaponlist\run.bat                       | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\zombies\STVzombies.mut                   | C++              |        226 |         20 |         51 |        297 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\mutators\zombies\run.bat                          | Batch            |          7 |          0 |          0 |          7 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\quick.bat                                         | Batch            |          3 |          0 |          0 |          3 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\quick.py                                          | Python           |         21 |          0 |         11 |         32 |
